"Ainsworth					"
"Alliance					"
"Beatrice					"
"Bellevue					"
"Blair						"
"Broken Bow					"
"Central City				"
"Chadron						"
"Columbus					"
"Cozad						"
"Crete						"
"Fairbury					"
"Falls City					"
"Fremont						"
"Gering						"
"Grand Island				"
"Gretna						"
"Hastings					"
"Holdrege					"
"Kearney						"
"Kimball						"
"La Vista					"
"Lexington					"
"Lincoln						"
"McCook						"
"Morrill						"
"Nebraska City				"
"Norfolk						"
"North Platte				"
"O'Neill						"
"Ogallala					"
"Omaha						"
"Papillion					"
"Paxton						"
"Plattsmouth					"
"Saint Paul					"
"Schuyler					"
"Scottsbluff					"
"Seward						"
"Sidney						"
"South Sioux City			"
"Syracuse					"
"Tecumseh					"
"Thedford					"
"Valentine					"
"Wahoo						"
"Wayne						"
"West Point					"
"York						"
