"Alpine						"
"Buffalo						"
"Casper						"
"Cheyenne					"
"Chugwater					"
"Cody						"
"Douglas						"
"Dubois						"
"Evanston					"
"Evansville					"
"Gillette					"
"Green River					"
"Jackson						"
"Jackson Hole				"
"Lander						"
"Laramie						"
"Lovell						"
"Lusk						"
"Pinedale					"
"Powell						"
"Ranchester					"
"Rawlins						"
"Riverton					"
"Rock Springs				"
"Sheridan					"
"Sundance					"
"Teton Village				"
"Thermopolis					"
"Torrington					"
"Wheatland					"
"Worland								"
